0,410.241577,0.97,64.98
0,408.881622,1.00,93.18
1,340.383240,1.00,85.08
2,283.563995,1.00,84.40
3,244.153351,1.00,84.47
4,212.286163,1.00,84.37
5,191.539978,1.00,85.32
0,410.188202,1.00,91.15
1,342.294281,1.00,83.35
2,284.575989,1.00,83.81
3,244.358551,1.00,86.02
4,213.342712,1.00,86.30
5,192.031921,1.00,83.44
6,175.224060,1.00,83.59
7,166.254410,1.00,82.46
8,159.455307,1.00,83.10
9,157.335068,1.00,81.27
10,158.244339,1.00,83.12
11,156.514923,1.00,80.62
12,154.407745,1.00,83.12
12,156.599777,0.83,1.00,91.86173057556152
14,155.517914,0.82,1.00,168.78899359703064
16,155.630630,0.83,1.00,167.9496946334839
18,157.754333,0.83,1.00,167.82019710540771
20,154.112915,0.83,1.00,166.21148252487183
22,160.695129,0.86,1.00,166.00944662094116
24,154.982834,0.80,1.00,164.65035390853882
26,158.162476,0.85,1.00,165.44418716430664
28,156.990433,0.85,1.00,164.5785837173462
30,156.571686,0.84,1.00,162.85697031021118
32,157.912064,0.88,1.00,161.85033059120178
34,155.244370,0.83,1.00,164.56677293777466
36,156.679749,0.82,1.00,163.8833601474762
38,155.737061,0.82,1.00,163.23100471496582
40,154.596466,0.82,1.00,161.02604746818542
42,155.980331,0.88,1.00,161.30365777015686
44,157.824326,0.81,1.00,162.33567571640015
46,156.900604,0.80,1.00,162.0217740535736
48,155.023788,0.83,1.00,163.43178176879883
50,154.686447,0.81,1.00,163.64064693450928
52,156.902420,0.86,1.00,161.18888521194458
54,156.640182,0.81,1.00,161.19838643074036
56,155.334930,0.79,1.00,161.32964634895325
58,155.745071,0.82,1.00,161.6679482460022
60,155.412750,0.78,1.00,161.26924586296082
62,155.152451,0.82,1.00,161.2683401107788
64,154.404572,0.81,1.00,162.3778054714203
66,158.324722,0.83,1.00,161.29004764556885
68,157.260254,0.86,1.00,163.1640121936798
70,151.767563,0.81,1.00,162.77012753486633
72,154.139191,0.83,1.00,162.96320366859436
74,155.513611,0.89,1.00,162.40684270858765
76,156.099945,0.87,1.00,161.72549319267273
78,154.542236,0.84,1.00,161.75609850883484
80,155.483719,0.80,1.00,162.35193729400635
82,153.225632,0.87,1.00,161.60033869743347
84,155.426361,0.86,1.00,162.40993666648865
86,154.591751,0.92,1.00,162.82990407943726
88,159.714355,0.79,1.00,165.1819577217102
90,156.540512,0.82,1.00,166.12544536590576
92,155.960236,0.81,1.00,161.35895609855652
94,154.911469,0.81,1.00,162.5180425643921
96,154.850891,0.86,1.00,167.43951654434204
98,155.261642,0.84,1.00,163.21417665481567
100,157.289093,0.83,1.00,166.58143734931946
102,159.731354,0.84,1.00,169.21356582641602
104,153.573853,0.83,1.00,170.0430817604065
106,158.544876,0.82,1.00,168.9846863746643
108,158.649429,0.80,1.00,169.23307418823242
110,155.934402,0.84,1.00,164.96698641777039
112,156.287979,0.77,1.00,166.7529113292694
114,156.118286,0.85,1.00,169.1774959564209
116,157.096268,0.85,1.00,168.35470414161682
118,155.447937,0.83,1.00,168.85817098617554
120,154.413208,0.81,1.00,162.48428535461426
122,156.043106,0.83,1.00,161.37364149093628
124,153.040009,0.81,1.00,162.02654647827148
126,156.358368,0.83,1.00,161.23577761650085
128,158.573517,0.86,1.00,161.07445549964905
130,156.813782,0.79,1.00,162.28150963783264
132,154.553619,0.85,1.00,168.92927145957947
134,155.523270,0.89,1.00,166.29135656356812
136,155.840210,0.80,1.00,161.8653655052185
138,156.040390,0.84,1.00,170.47488164901733
140,158.488754,0.80,1.00,166.5752432346344
142,155.082062,0.82,1.00,167.03619742393494
144,155.417526,0.82,1.00,168.29959750175476
146,155.455551,0.83,1.00,169.74827241897583
148,158.571426,0.88,1.00,169.00919771194458
150,156.636383,0.84,1.00,168.51520562171936
152,155.525543,0.83,1.00,168.2632555961609
154,157.907288,0.93,1.00,165.09707403182983
156,154.604919,0.84,1.00,161.56928205490112
158,156.115067,0.84,1.00,162.32464408874512
160,155.552246,0.89,1.00,162.15811467170715
162,157.404404,0.80,1.00,162.34022283554077
164,159.908722,0.81,1.00,162.2705557346344
166,154.813812,0.81,1.00,162.94593453407288
168,158.297974,0.87,1.00,162.56446480751038
170,157.993439,0.83,1.00,162.17360639572144
172,153.754456,0.82,1.00,162.39056038856506
174,154.507431,0.81,1.00,162.14704751968384
176,156.473526,0.82,1.00,162.54795670509338
178,157.911957,0.82,1.00,161.84970259666443
180,158.858521,0.83,1.00,161.4108648300171
182,160.375214,0.83,1.00,160.54262161254883
184,154.568893,0.81,1.00,161.97029089927673
186,156.618179,0.86,1.00,162.0864224433899
188,155.435349,0.84,1.00,161.796293258667
190,155.227936,0.83,1.00,161.9514594078064
192,156.833023,0.85,1.00,162.82958126068115
194,158.031662,0.80,1.00,162.48709654808044
196,157.004486,0.81,1.00,162.51561069488525
198,157.282593,0.82,1.00,161.8155975341797
200,152.863007,0.84,1.00,162.0049922466278
202,153.387161,0.85,1.00,162.12061834335327
204,155.178238,0.80,1.00,162.31159925460815
206,157.251984,0.87,1.00,162.27978467941284
208,155.369843,0.83,1.00,162.220685005188
210,156.786499,0.80,1.00,163.4928047657013
212,154.343781,0.86,1.00,162.35368990898132
214,155.582932,0.83,1.00,161.08885431289673
216,158.684814,0.85,1.00,161.77902150154114
218,156.844986,0.81,1.00,162.37248754501343
220,158.422729,0.80,1.00,163.02933359146118
222,155.813431,0.79,1.00,161.96723532676697
224,155.148270,0.83,1.00,161.42530250549316
226,155.173065,0.84,1.00,161.63264107704163
228,154.129425,0.85,1.00,161.97480034828186
230,155.723038,0.81,1.00,161.70611310005188
232,153.562500,0.78,1.00,161.45092272758484
234,153.748535,0.81,1.00,161.5488498210907
236,159.105606,0.82,1.00,162.33697509765625
238,155.291382,0.81,1.00,161.44661235809326
240,156.422318,0.81,1.00,161.46770453453064
242,154.000824,0.83,1.00,161.70992136001587
244,155.148682,0.85,1.00,161.7878611087799
246,158.598755,0.80,1.00,162.34135556221008
248,154.507370,0.81,1.00,162.1595368385315
250,158.730560,0.85,1.00,162.52204990386963
252,154.221252,0.84,1.00,162.68109393119812
254,156.686783,0.85,1.00,162.45037412643433
256,151.664856,0.81,1.00,163.0610795021057
258,155.272278,0.82,1.00,161.87911939620972
260,159.300781,0.84,1.00,161.7543866634369
262,155.374725,0.78,1.00,161.7387878894806
264,155.658615,0.83,1.00,161.2401249408722
266,153.906525,0.82,1.00,161.46091032028198
268,156.108658,0.83,1.00,162.31191205978394
270,159.027420,0.84,1.00,161.0421826839447
272,154.463394,0.79,1.00,162.07060742378235
274,156.814545,0.85,1.00,162.22039151191711
276,156.229034,0.80,1.00,161.87532424926758
278,154.984451,0.81,1.00,162.54624843597412
280,153.918472,0.85,1.00,163.52078914642334
282,154.628830,0.81,1.00,160.94897079467773
284,157.960770,0.90,1.00,161.42595314979553
286,156.836929,0.86,1.00,162.56970191001892
288,156.701721,0.80,1.00,161.3363904953003
290,157.318054,0.84,1.00,161.88164949417114
292,153.904968,0.85,1.00,161.57118558883667
294,154.712387,0.78,1.00,162.37677669525146
296,157.333755,0.81,1.00,161.90957856178284
298,155.864105,0.81,1.00,161.40575742721558
300,155.353531,0.81,1.00,161.93063139915466
302,157.470947,0.80,1.00,163.16665124893188
304,154.212219,0.83,1.00,162.86647033691406
306,156.281937,0.85,1.00,163.3486614227295
308,154.801117,0.81,1.00,162.4036042690277
310,158.411514,0.84,1.00,162.50056982040405
312,160.660889,0.89,1.00,163.0573570728302
314,153.872849,0.85,1.00,162.018296957016
316,152.997543,0.83,1.00,162.4562029838562
318,158.125275,0.87,1.00,161.60232210159302
320,158.498428,0.84,1.00,161.46519804000854
322,157.142471,0.83,1.00,161.90547847747803
324,157.174759,0.80,1.00,162.58936524391174
326,155.174362,0.86,1.00,162.61125016212463
328,154.070297,0.81,1.00,163.13083171844482
330,154.909592,0.79,1.00,162.74612259864807
332,156.307541,0.81,1.00,161.41310453414917
334,158.768890,0.90,1.00,161.58822226524353
336,154.660721,0.84,1.00,161.80041193962097
338,155.173843,0.83,1.00,162.41882300376892
340,155.770218,0.86,1.00,161.6589720249176
342,154.898193,0.82,1.00,162.1815857887268
0,498.866394,1.00,90.62
1,488.635620,1.00,82.86
2,479.956299,1.00,83.60
3,471.869110,1.00,86.76
4,462.568024,1.00,83.08
5,453.075562,1.00,82.64
6,444.494507,1.00,86.26
7,434.598328,1.00,82.95
8,428.076202,1.00,83.30
9,419.928680,1.00,82.64
10,412.467010,1.00,83.16
0,498.266479,0.98,90.26
1,489.220276,1.00,85.59
2,480.703278,1.00,85.33
3,471.738281,1.00,82.73
4,462.210327,1.00,83.01
5,454.045074,1.00,82.42
6,444.219147,1.00,85.45
7,436.803619,1.00,82.50
8,428.726349,1.00,82.65
9,420.252747,1.00,81.81
10,414.364563,1.00,85.00
11,404.954407,1.00,81.17
12,397.393097,1.00,82.77
13,391.064819,1.00,81.43
14,384.852020,1.00,85.60
15,376.700134,1.00,80.78
16,370.658020,1.00,82.89
17,365.019196,1.00,80.84
18,357.800171,1.00,83.32
19,351.960571,1.00,81.31
20,345.513733,1.00,83.39
21,339.502258,1.00,80.30
22,332.183807,1.00,83.27
23,327.922821,1.00,81.01
24,320.886200,1.00,80.95
25,315.751770,1.00,80.68
26,308.681824,1.00,80.69
